Ticker,Year,EPSIE
AAL,2009,-4.99
AAL,2010,-1.41
AAL,2011,-5.91
AAL,2012,-5.6
AAL,2013,-11.25
AAL,2014,3.93
AAL,2015,11.07
AAL,2016,4.81
AAL,2017,3.9
AAL,2018,3.03
PNW,2009,0.67
PNW,2010,3.27
PNW,2011,3.09
PNW,2012,3.45
PNW,2013,3.66
PNW,2014,3.58
PNW,2015,3.92
PNW,2016,3.95
PNW,2017,4.35
PNW,2018,4.54
ABT,2009,3.69
ABT,2010,2.96
ABT,2011,3.01
ABT,2012,3.72
ABT,2013,1.62
ABT,2014,1.49
ABT,2015,2.92
ABT,2016,0.94
ABT,2017,0.27
ABT,2018,1.33
AMD,2009,0.45
AMD,2010,0.64
AMD,2011,0.66
AMD,2012,-1.6
AMD,2013,-0.11
AMD,2014,-0.53
AMD,2015,-0.84
AMD,2016,-0.6
AMD,2017,0.04
AMD,2018,0.32
APD,2009,2.96
APD,2010,4.74
APD,2011,5.63
APD,2012,5.44
APD,2013,4.68
APD,2014,4.61
APD,2015,5.88
APD,2016,2.89
APD,2017,13.65
APD,2018,6.78
ALK,2009,3.36
ALK,2010,6.83
ALK,2011,6.66
ALK,2012,4.4
ALK,2013,7.16
ALK,2014,4.42
ALK,2015,6.56
ALK,2016,6.54
ALK,2017,8.35
ALK,2018,3.52
HON,2009,2.85
HON,2010,2.59
HON,2011,2.61
HON,2012,3.69
HON,2013,4.92
HON,2014,5.33
HON,2015,6.04
HON,2016,6.2
HON,2017,2.14
HON,2018,8.98
SWKS,2009,0.55
SWKS,2010,0.75
SWKS,2011,1.19
SWKS,2012,1.05
SWKS,2013,1.45
SWKS,2014,2.38
SWKS,2015,4.1
SWKS,2016,5.18
SWKS,2017,5.41
SWKS,2018,5.01
HES,2009,2.27
HES,2010,6.47
HES,2011,5.01
HES,2012,5.95
HES,2013,14.82
HES,2014,7.53
HES,2015,-10.78
HES,2016,-19.92
HES,2017,-13.12
HES,2018,-1.1
AEP,2009,2.96
AEP,2010,2.53
AEP,2011,4.02
AEP,2012,2.6
AEP,2013,3.04
AEP,2014,3.34
AEP,2015,4.17
AEP,2016,1.24
AEP,2017,3.88
AEP,2018,3.9
AXP,2009,
AXP,2009,1.54
AXP,2010,
AXP,2010,3.35
AXP,2011,
AXP,2011,4.12
AXP,2012,
AXP,2012,3.89
AXP,2013,
AXP,2013,4.88
AXP,2014,
AXP,2014,5.56
AXP,2015,
AXP,2015,5.05
AXP,2016,
AXP,2016,5.65
AXP,2017,
AXP,2017,2.97
AXP,2018,
AXP,2018,7.91
AFL,2009,
AFL,2009,3.19
AFL,2010,
AFL,2010,4.95
AFL,2011,
AFL,2011,4.18
AFL,2012,
AFL,2012,6.11
AFL,2013,
AFL,2013,6.76
AFL,2014,
AFL,2014,6.5
AFL,2015,
AFL,2015,5.85
AFL,2016,
AFL,2016,6.42
AFL,2017,
AFL,2017,11.54
AFL,2018,
AFL,2018,3.77
AIG,2009,
AIG,2009,-18.28
AIG,2010,
AIG,2010,11.51
AIG,2011,
AIG,2011,9.44
AIG,2012,
AIG,2012,2.04
AIG,2013,
AIG,2013,6.13
AIG,2014,
AIG,2014,5.2
AIG,2015,
AIG,2015,1.65
AIG,2016,
AIG,2016,-0.78
AIG,2017,
AIG,2017,-6.54
AIG,2018,
AIG,2018,-0.01
AME,2009,1.91
AME,2010,1.76
AME,2011,2.37
AME,2012,1.88
AME,2013,2.1
AME,2014,2.37
AME,2015,2.45
AME,2016,2.19
AME,2017,2.94
AME,2018,3.34
AMGN,2009,4.51
AMGN,2010,4.79
AMGN,2011,4.04
AMGN,2012,5.52
AMGN,2013,6.64
AMGN,2014,6.7
AMGN,2015,9.06
AMGN,2016,10.24
AMGN,2017,2.69
AMGN,2018,12.62
ADI,2009,0.85
ADI,2010,2.33
ADI,2011,2.81
ADI,2012,2.13
ADI,2013,2.14
ADI,2014,1.98
ADI,2015,2.2
ADI,2016,2.76
ADI,2017,2.07
ADI,2018,3.97
APA,2009,-0.87
APA,2010,8.46
APA,2011,11.47
APA,2012,4.92
APA,2013,5.5
APA,2014,-14.06
APA,2015,-61.2
APA,2016,-3.71
APA,2017,3.41
APA,2018,0.11
AAPL,2009,9.08
AAPL,2010,15.15
AAPL,2011,27.68
AAPL,2012,44.15
AAPL,2013,39.75
AAPL,2014,6.45
AAPL,2015,9.22
AAPL,2016,8.31
AAPL,2017,9.21
AAPL,2018,11.91
AMAT,2009,-0.23
AMAT,2010,0.7
AMAT,2011,1.45
AMAT,2012,0.09
AMAT,2013,0.21
AMAT,2014,0.87
AMAT,2015,1.12
AMAT,2016,1.54
AMAT,2017,3.17
AMAT,2018,3.23
ADM,2009,2.65
ADM,2010,3
ADM,2011,3.13
ADM,2012,1.84
ADM,2013,2.02
ADM,2014,3.43
ADM,2015,2.98
ADM,2016,2.16
ADM,2017,2.79
ADM,2018,3.19
ADSK,2008,0.8
ADSK,2009,0.25
ADSK,2010,0.9
ADSK,2011,1.22
ADSK,2012,1.07
ADSK,2013,1
ADSK,2014,0.35
ADSK,2015,-1.46
ADSK,2016,-2.61
ADSK,2017,-2.58
ADSK,2018,-0.37
ADP,2009,2.63
ADP,2010,2.4
ADP,2011,2.52
ADP,2012,2.82
ADP,2013,2.89
ADP,2014,3.14
ADP,2015,3.05
ADP,2016,3.25
ADP,2017,3.85
ADP,2018,3.66
AVY,2009,-7.21
AVY,2010,2.97
AVY,2011,1.78
AVY,2012,2.08
AVY,2013,2.16
AVY,2014,2.6
AVY,2015,2.95
AVY,2016,3.54
AVY,2017,3.13
AVY,2018,5.28
BLL,2009,4.08
BLL,2010,5.1
BLL,2011,2.63
BLL,2012,2.55
BLL,2013,2.73
BLL,2014,3.3
BLL,2015,1.99
BLL,2016,1.63
BLL,2017,1.05
BLL,2018,1.29
BK,2009,
BK,2009,-1.16
BK,2010,
BK,2010,2.06
BK,2011,
BK,2011,2.03
BK,2012,
BK,2012,2.03
BK,2013,
BK,2013,1.74
BK,2014,
BK,2014,2.15
BK,2015,
BK,2015,2.71
BK,2016,
BK,2016,3.15
BK,2017,
BK,2017,3.72
BK,2018,
BK,2018,4.04
BAX,2009,3.59
BAX,2010,2.39
BAX,2011,3.88
BAX,2012,4.18
BAX,2013,3.66
BAX,2014,4.56
BAX,2015,1.76
BAX,2016,9.01
BAX,2017,1.29
BAX,2018,2.97
BDX,2009,4.99
BDX,2010,5.49
BDX,2011,5.62
BDX,2012,5.59
BDX,2013,6.49
BDX,2014,5.99
BDX,2015,3.35
BDX,2016,4.49
BDX,2017,4.6
BDX,2018,0.6
VZ,2009,1.29
VZ,2010,0.9
VZ,2011,0.85
VZ,2012,0.31
VZ,2013,4
VZ,2014,2.42
VZ,2015,4.37
VZ,2016,3.21
VZ,2017,7.36
VZ,2018,3.76
BRK.B,2009,
BRK.B,2009,5193
BRK.B,2010,
BRK.B,2010,5.29
BRK.B,2011,
BRK.B,2011,4.14
BRK.B,2012,
BRK.B,2012,5.98
BRK.B,2013,
BRK.B,2013,7.9
BRK.B,2014,
BRK.B,2014,8.06
BRK.B,2015,
BRK.B,2015,9.77
BRK.B,2016,
BRK.B,2016,9.76
BRK.B,2017,
BRK.B,2017,18.22
BRK.B,2018,
BRK.B,2018,1.63
BBY,2008,2.39
BBY,2009,3.1
BBY,2010,3.08
BBY,2011,-3.36
BBY,2012,-1.31
BBY,2013,1.53
BBY,2014,3.49
BBY,2015,2.56
BBY,2016,3.81
BBY,2017,3.26
BBY,2018,5.2
HRB,2008,1.45
HRB,2009,1.43
HRB,2010,1.31
HRB,2011,0.89
HRB,2012,1.58
HRB,2013,1.72
HRB,2014,1.71
HRB,2015,1.49
HRB,2016,1.91
HRB,2017,2.91
HRB,2018,2.04
BA,2009,1.84
BA,2010,4.45
BA,2011,5.34
BA,2012,5.11
BA,2013,5.96
BA,2014,7.38
BA,2015,7.44
BA,2016,7.61
BA,2017,13.43
BA,2018,17.85
RHI,2009,0.24
RHI,2010,0.44
RHI,2011,1.04
RHI,2012,1.5
RHI,2013,1.83
RHI,2014,2.26
RHI,2015,2.69
RHI,2016,2.67
RHI,2017,2.33
RHI,2018,3.57
BMY,2009,5.34
BMY,2010,1.8
BMY,2011,2.16
BMY,2012,1.16
BMY,2013,1.54
BMY,2014,1.2
BMY,2015,0.93
BMY,2016,2.65
BMY,2017,0.61
BMY,2018,3.01
BF.B,2008,2.87
BF.B,2009,3.02
BF.B,2010,3.9
BF.B,2011,3.56
BF.B,2012,2.75
BF.B,2013,3.06
BF.B,2014,3.21
BF.B,2015,5.22
BF.B,2016,1.71
BF.B,2017,1.48
BF.B,2018,1.73
CI,2009,
CI,2009,4.73
CI,2010,
CI,2010,4.89
CI,2011,
CI,2011,4.84
CI,2012,
CI,2012,5.61
CI,2013,
CI,2013,5.18
CI,2014,
CI,2014,7.83
CI,2015,
CI,2015,8.04
CI,2016,
CI,2016,7.19
CI,2017,
CI,2017,8.77
CI,2018,
CI,2018,10.54
CSX,2009,2.91
CSX,2010,4.06
CSX,2011,1.67
CSX,2012,1.79
CSX,2013,1.83
CSX,2014,1.92
CSX,2015,2
CSX,2016,1.81
CSX,2017,5.99
CSX,2018,3.84
CPB,2009,2.06
CPB,2010,2.42
CPB,2011,2.42
CPB,2012,2.41
CPB,2013,1.44
CPB,2014,2.59
CPB,2015,2.21
CPB,2016,1.81
CPB,2017,2.89
CPB,2018,0.86
STZ,2008,-1.38
STZ,2009,0.45
STZ,2010,2.62
STZ,2011,2.13
STZ,2012,2.04
STZ,2013,9.83
STZ,2014,4.17
STZ,2015,5.18
STZ,2016,7.52
STZ,2017,11.55
STZ,2018,17.57
CAH,2009,3.18
CAH,2010,1.77
CAH,2011,2.72
CAH,2012,3.06
CAH,2013,0.97
CAH,2014,3.38
CAH,2015,3.62
CAH,2016,4.32
CAH,2017,4.03
CAH,2018,0.81
CAT,2009,1.43
CAT,2010,4.15
CAT,2011,7.4
CAT,2012,8.48
CAT,2013,5.75
CAT,2014,5.88
CAT,2015,3.5
CAT,2016,-0.11
CAT,2017,1.26
CAT,2018,10.26
CTL,2009,3.23
CTL,2010,3.13
CTL,2011,1.07
CTL,2012,1.25
CTL,2013,-0.4
CTL,2014,1.36
CTL,2015,1.58
CTL,2016,1.16
CTL,2017,2.21
CTL,2018,-1.63
JPM,2009,
JPM,2009,2.26
JPM,2010,
JPM,2010,3.96
JPM,2011,
JPM,2011,4.48
JPM,2012,
JPM,2012,5.2
JPM,2013,
JPM,2013,4.35
JPM,2014,
JPM,2014,5.29
JPM,2015,
JPM,2015,6
JPM,2016,
JPM,2016,6.19
JPM,2017,
JPM,2017,6.31
JPM,2018,
JPM,2018,9
CVX,2009,5.24
CVX,2010,9.48
CVX,2011,13.44
CVX,2012,13.32
CVX,2013,11.09
CVX,2014,10.14
CVX,2015,2.45
CVX,2016,-0.27
CVX,2017,4.85
CVX,2018,7.74
CHD,2009,3.41
CHD,2010,3.75
CHD,2011,2.12
CHD,2012,2.45
CHD,2013,2.79
CHD,2014,3.01
CHD,2015,3.07
CHD,2016,1.75
CHD,2017,2.9
CHD,2018,2.27
CTAS,2008,1.48
CTAS,2009,1.4
CTAS,2010,1.68
CTAS,2011,2.27
CTAS,2012,2.52
CTAS,2013,3.05
CTAS,2014,3.63
CTAS,2015,6.21
CTAS,2016,4.38
CTAS,2017,7.56
CLX,2009,3.81
CLX,2010,4.24
CLX,2011,4.02
CLX,2012,4.09
CLX,2013,4.3
CLX,2014,4.23
CLX,2015,4.37
CLX,2016,4.92
CLX,2017,5.33
CLX,2018,6.26
KO,2009,2.93
KO,2010,5.06
KO,2011,3.69
KO,2012,1.97
KO,2013,1.9
KO,2014,1.6
KO,2015,1.67
KO,2016,1.49
KO,2017,0.29
KO,2018,1.5
CL,2009,4.37
CL,2010,4.31
CL,2011,4.94
CL,2012,5.15
CL,2013,2.38
CL,2014,2.36
CL,2015,1.52
CL,2016,2.72
CL,2017,2.28
CL,2018,2.75
AON,2009,
AON,2009,2.57
AON,2010,
AON,2010,2.37
AON,2011,
AON,2011,2.87
AON,2012,
AON,2012,2.99
AON,2013,
AON,2013,3.53
AON,2014,
AON,2014,4.66
AON,2015,
AON,2015,4.88
AON,2016,
AON,2016,5.16
AON,2017,
AON,2017,4.7
AON,2018,
AON,2018,4.59
CMCSA,2009,1.26
CMCSA,2010,1.29
CMCSA,2011,1.5
CMCSA,2012,2.28
CMCSA,2013,2.56
CMCSA,2014,3.2
CMCSA,2015,3.24
CMCSA,2016,3.57
CMCSA,2017,4.75
CMCSA,2018,2.53
