,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,k,std,info_up,info_down,info
ATO,2.08,2.2,2.27,2.37,2.64,2.96,3.09,3.38,3.73,5.43,0.3722222222222222,0.5088167100680208,2018,,False
AZO,11.73,14.97,19.47,23.48,27.79,31.57,36.03,40.7,44.07,48.77,4.115555555555556,0.5476566239695988,"2016,2018","2010,2017",False
DG,1.04,1.82,2.22,2.85,3.17,3.49,3.95,4.43,5.63,5.97,0.5477777777777777,0.2887809627458924,2017,,False
FFIV,1.14,1.86,2.96,3.45,3.5,4.09,5.03,5.38,6.5,7.32,0.6866666666666668,0.3550352095215347,"2011,2017",2013,False
HD,1.57,2.01,2.47,3.0,3.76,4.71,5.46,6.45,7.29,9.73,0.9066666666666667,0.6092618484691128,2018,,False
IPGP,0.12,1.13,2.41,2.81,2.97,3.79,4.53,4.85,6.36,7.38,0.8066666666666666,0.45146982180429307,"2011,2017","2013,2016",False
JKHY,1.22,1.38,1.59,1.78,2.04,2.19,2.59,3.12,3.14,4.85,0.4033333333333333,0.5120058593414727,2018,,False
KMX,1.26,1.67,1.79,1.87,2.16,2.73,3.03,3.26,3.6,4.79,0.39222222222222225,0.3331582873717002,2018,,False
MTD,5.03,6.8,8.21,9.14,9.96,11.44,12.48,14.22,14.24,19.88,1.6499999999999997,1.5915951118296383,2018,2017,False
ORLY,2.23,2.95,3.71,4.75,6.03,7.34,9.17,10.73,12.67,16.1,1.5411111111111113,0.8267321882635947,2018,,False
PAYX,1.32,1.42,1.51,1.56,1.71,1.85,2.09,2.25,2.58,2.86,0.1711111111111111,0.0933333333333333,"2017,2018",2012,True
RJF,1.29,1.83,2.19,2.2,2.58,3.32,3.43,3.65,4.33,5.75,0.4955555555555555,0.42462074581652004,2018,2012,False
SNA,2.32,3.19,4.71,5.2,5.93,7.14,8.1,9.2,9.52,11.87,1.061111111111111,0.604905869628582,2018,2017,False
TROW,1.65,2.53,2.92,3.36,3.9,4.55,4.63,4.75,5.97,7.27,0.6244444444444444,0.4364662389896585,"2017,2018","2015,2016",True
ULTA,0.66,1.16,1.9,2.68,3.15,3.98,4.98,6.52,8.96,10.94,1.1422222222222222,0.6909554576414058,"2017,2018",,True
UNH,3.24,4.1,4.73,5.28,5.5,5.7,6.01,7.25,10.72,12.19,0.9944444444444444,1.0285075487218254,2017,,False
USB,0.97,1.73,2.46,2.84,3.0,3.08,3.16,3.24,3.51,4.14,0.3522222222222222,0.2856911696998079,"2010,2011",,False
